C0001,"Giant, Verbeeg",Monster,REM 2,Uncommon,Yes,Hills or Mountains,A giant sized humanoid with massive arms.  The Verbeeg stands nearly 12 feet tall.,,Throw Boulder:  The giant can throw large boulders that inflict 5 points of damage.,
C0002,Gnoll,Goblinoid/Humanoid,REM 2,Common,yes,"Forests, Plains, Subterranian","A 7 foot tall humanoid with a hairy body and the head of a dog or Hyena.  The hair is brownish in color with black  patches.  Flind?s are larger versions of regular Gnolls, a foot or two taller and more muscular.","Tribe or pack-oriented hu- manoids.  Gnolls (and their larger cousins, the Flinds) are very agressive, pack oriented, and evil.  They have their own tounge, and often learn goblin as well. Gnolls have shamanistic spellcasters and witch doctors as well.",,A gnoll of 5th level or above is likely to have a Resist Charm  or Resist sleep.  Gnolls of 7th level or above will have both.
C0003,Gnome,Humanoid,REM 2,Uncommon,Yes,"Any, usually Hills, Mountains, or Subterranian","A 3 to 4 foot tall humanoid that looks very much like a dwarf.   Gnomes are usually dressed in colorful garments of reds, greens, blues and browns.  They have very little hair on the rop of their heads and most often they look much older than they really are.","A race of miners and craftsman, similar to Dwarves, but of a less practical or more fanciful nature. Generally considered a “goodly” race.",,"Gnomes are a highly magic resist species. Most gnomes of third level will have a resist charm or resist sleep, and at 4th, most will have both.
Like their dwarven cousins, they are stout individuals, possessed of a tough constitution.  Gnomes may have a drug tolerance for every 3 levels they have attained."
C0004,Goblin,Humanoid,REM 2,Common,Yes,Any,A 4 foot tall ugly lookiing humanoid witha slightly yellowish hue to their skin.,One of the weakest of the “evil races”.  Usually subterranian cave dwellers.  Goblins will come out to raid those weaker than themselves but will usualy run from the fight unless they have overwhelming superiority of numbers.,,
C0005,"Golem, Clay",Created Creature,REM 1,Very Rare,no,Any,A 12 foot tall creature that looks like a giant clay statue.  May be as attractive or hideous as the creator made it.,"A created or summoned construct creature.  Made to serve it?s creator as a powerful protector or killing machine, or to perform any tasks it is capable of.  Not terribly intelligent (about as intelligent as a child or kobold) and never thinks for itself.",The blows from a clay golem are powerful enough to knock victims of up to giant size from their feet.,"A +1 or better weapons is required to damage a clay golem. A clay golem is immune to all first level spells. Spells that inflict no armor damage do not damage a clay golem (it has no body, only armor).  Golem?s are immune to sleep and charm spells, as well as poisons and disease."
C0006,"Golem, Flesh",Created Creature/Monster,REM 1,Very Rare,No,Any,"A creature that looks like it is made of several pieces of flesh strung and sown together to make horrid mockery of a human form, that stands nearly 12 feet tall.","A created or summoned construct creature.  Made to serve it?s creator as a powerful protector or killing machine, or to perform any tasks it is capable of. Not terribly intelligent (about as intelligent as a child or kobold) and never thinks for itself.",The blows from a flesh golem are powerful enough to knock victims of up to giant size from their feet.,"A Magical weapon is needed to damage a flesh golem. Lightning damage heals a flesh golem. Spells that inflict no armor damage do not damage a flesh golem (it has no body, only armor). Golem?s are immune to sleep and charm spells, as well as poisons and disease."
C0007,"Golem, Iron",Created Creature/Monster,,,,,"A solid iron statue that moves, it stands nearly 15 feet tall.","A created or summoned construct creature.  Made to serve it?s creator as a powerful protector or killing machine, or to perform any tasks it is capable of. Not terribly intelligent (about as intelligent as a child or kobold) and never thinks for itself.",The blows from a iron golem are powerful enough to knock victims of up to giant size from their feet.,"A +2 or better weapon is needed to damage
an Iron Golem. An Iron Golem is immune to all spells of 5th level or lower, as well as all sleep and charm spells. The Golem is immune to poisons and disease (including magical), and is immune to electircal damage of any kind. Spells that inflict no armor damage do not hurt an iron golem fire damage heals the iron golem instead of damaging it."
C0008,"Golem, Stone",Created Creature/Monster,REM 1,Very Rare,No,Any,A 15-foot tall moving statue made from stone.,"A created or summoned construct creature.  Made to serve it?s creator as a powerful protector or killing machine, or to perform any tasks it is capable of. Not terribly intelligent (about as intelligent as a child or kobold) and never thinks for itself.",The blows from a stone golem are powerful enough to knock victims of up to giant size from their feet.,"A +1 or better weapon is needed to damage a Stone golem. A Stone golem is immune to all 4th level and spells, as well as all charm and sleep spells. A Stone golem is immune to poisons and diseases. No-armor damage does not harm a Stone golem, as it has no body, only armor."
C0009,"Golem, Minor Fire (Flame Guardian)",Created Creature,REM 1,Very Rare,No (may be in the presence of Random spellcaster),Any,A humanoid statue that appears to be made from molten rock.  About 7 feet tall.,A created automaton.  Reasonobly intelligent as far as interpreting its orders.,,"Immune to Fire damage of all kinds as it has no “body”, spells that affect the  body points of a target or attacks to do no-armor damage to nothing to this creature."
C0010,"Golem, Metallic Guardian",Created Creature,REM 1,Very Rare,No (but may be in the presence of Random casters),Any,A tell (7?) humanoid skeleton that appears to be made out of a blueish colored metal.  It has a glowing gem set into its chest.,A created automaton.  Fairly intelligent when followings its orders (about as intelligent as a 10 year old child).,,"Shatter:  Once a day, the golem can shatter any non-magical weapon by touch.  (strike the weapon and call the effect).  The weapon can be repaired.  (it is broken into useles shards)."
C0011,"Golem, Stone Guardian",Created Creature,REM 1,Very Rare,"No  (may be encountered with Random spellcasters, however)",Any,"A stone statue, roughly 8 feet tall, that moves. Most resemble humanoid figures in armor, but other forms have been created.",None.  A created automaton.,"Shatter Weapon:  Twice a day, the Stone guardian may strike and shatter any non-magical weapon it touches.  The weapon is destroyed but MAY be repaired.  (it is broken into useless pieces).  Magical weapons of any kind are unaffected.","Immune to poisons and disease. Immune to Charm, Sleep, or Fear type spells or affects. Immune to no-armor damage.  They have no “vitals” so any attack that inflicts no-armor damage or does damage to the “body oints” of a creature does nothing to this creature.  takes half damage from all elemental magic attacks (fire, lightning, cold, etc)."
